step,tokens_processed,split,loss,perplexity,wallclock_sec
1,2560,train,9.26798186302185,10593.35146489027,1.2920734882354736
1,2560,valid,9.271019840240479,10625.582759489524,1.2921593189239502
250,640000,train,4.428156566619873,83.77683745693211,7.1650755405426025
250,640000,valid,4.376386642456055,79.55007061435953,7.16515588760376
500,1280000,train,3.7054609298706054,40.66878845677243,13.091493129730225
500,1280000,valid,3.659990108013153,38.86095845734124,13.093200922012329
750,1920000,train,3.3063348054885866,27.284937376914794,19.024402141571045
750,1920000,valid,3.2793545603752134,26.55862517755462,19.024483680725098
1000,2560000,train,3.112939953804016,22.48705822677355,25.050166606903076
1000,2560000,valid,3.0913944244384766,22.007744726643484,25.05023956298828
1250,3200000,train,2.9841388463974,19.769470353272922,31.281858921051025
1250,3200000,valid,2.933968663215637,18.802101833022313,31.28193688392639
1500,3840000,train,2.903549838066101,18.238775287497347,37.27890467643738
1500,3840000,valid,2.8542627453804017,17.361632544290597,37.28019714355469
1750,4480000,train,2.808509814739227,16.585184796741938,43.287232875823975
1750,4480000,valid,2.717121720314026,15.136691852167635,43.287304639816284
2000,5120000,train,2.7325658202171326,15.372278966124696,49.43893122673035
2000,5120000,valid,2.6686775922775268,14.420886286502329,49.439008712768555
2250,5760000,train,2.6410417914390565,14.0278100503983,55.934852838516235
2250,5760000,valid,2.633416938781738,13.921256808280374,55.93493294715881
2500,6400000,train,2.633836340904236,13.92709663746638,62.027034759521484
2500,6400000,valid,2.6042338967323304,13.520862956648061,62.027111530303955
2750,7040000,train,2.504455578327179,12.236895121082924,68.02942037582397
2750,7040000,valid,2.5342259645462035,12.606669061731877,68.0294976234436
3000,7680000,train,2.43029967546463,11.362286568361798,74.09796071052551
3000,7680000,valid,2.4631205916404726,11.741394527621162,74.09804224967957
3250,8320000,train,2.4608150362968444,11.714355274950554,80.3784568309784
3250,8320000,valid,2.4630180478096007,11.740190581776186,80.37853670120239
3500,8960000,train,2.4894620418548583,12.054789403662424,86.44020557403564
3500,8960000,valid,2.4498744368553163,11.58689174131535,86.44121050834656
3750,9600000,train,2.4205278515815736,11.251797026484724,92.82339024543762
3750,9600000,valid,2.3744057536125185,10.744626333198836,92.82348036766052
4000,10240000,train,2.3690740704536437,10.687491836791919,98.91248989105225
4000,10240000,valid,2.2748466074466704,9.726426936663556,98.91256856918335
4250,10880000,train,2.33814080953598,10.361953797430747,105.30977821350098
4250,10880000,valid,2.3927936792373656,10.944025372130291,105.30986142158508
4500,11520000,train,2.3630094647407534,10.62287255602666,111.14727711677551
4500,11520000,valid,2.3139363884925843,10.11415965919327,111.14735078811646
4750,12160000,train,2.344257080554962,10.425524524865825,117.03841304779053
4750,12160000,valid,2.2934216260910034,9.908783897116615,117.03849840164185
5000,12800000,train,2.264254277944565,9.62394513635191,122.96209025382996
5000,12800000,valid,2.2963056683540346,9.937402497440825,122.96216869354248
5250,13440000,train,2.254251778125763,9.528161463549377,129.29882073402405
5250,13440000,valid,2.2563522934913633,9.548196547744078,129.29889273643494
5500,14080000,train,2.284663325548172,9.8223787233008,135.49176931381226
5500,14080000,valid,2.214375877380371,9.15569305290089,135.49185252189636
5750,14720000,train,2.209701657295227,9.112997191202847,141.8598017692566
5750,14720000,valid,2.267613023519516,9.656323865008844,141.85988688468933
6000,15360000,train,2.175513392686844,8.806705259861117,147.95183515548706
6000,15360000,valid,2.2442426323890685,9.43326839833883,147.95191144943237
6250,16000000,train,2.215024024248123,9.161629210218301,153.99931240081787
6250,16000000,valid,2.1984903872013093,9.0113995020648,153.99939560890198
6500,16640000,train,2.1612075686454775,8.681614977188037,160.08250093460083
6500,16640000,valid,2.1645591855049133,8.71076124058246,160.08257913589478
6750,17280000,train,2.133369278907776,8.443266661340939,166.32979941368103
6750,17280000,valid,2.180208849906921,8.848154001903392,166.3298842906952
7000,17920000,train,2.1616379380226136,8.685352082528471,172.38719391822815
7000,17920000,valid,2.1112134754657745,8.2582563983798,172.38727045059204
7250,18560000,train,2.17110812664032,8.767994707940696,178.67256784439087
7250,18560000,valid,2.0913044452667235,8.095468375169554,178.67265009880066
7500,19200000,train,2.1472317934036256,8.561126597950134,184.71569156646729
7500,19200000,valid,2.1450915694236756,8.542823462900634,184.71577501296997
7750,19840000,train,2.1546301364898683,8.624699627292822,190.49934244155884
7750,19840000,valid,2.134023118019104,8.44878900447672,190.4994261264801
8000,20480000,train,2.1028721749782564,8.189658296686224,196.2945215702057
8000,20480000,valid,2.1446791708469393,8.53930114101341,196.29459166526794
8250,21120000,train,2.0816401839256287,8.017608488256098,202.34392046928406
8250,21120000,valid,2.064141798019409,7.878533622353977,202.34400177001953
8500,21760000,train,2.1117735326290132,8.262882789432371,208.43762969970703
8500,21760000,valid,2.053213447332382,7.792902997009903,208.43771624565125
8750,22400000,train,2.1352518677711485,8.45917683258467,214.54415607452393
8750,22400000,valid,2.0852078974246977,8.046264105410538,214.5442340373993
9000,23040000,train,2.0560298919677735,7.814882213944849,220.35187482833862
9000,23040000,valid,2.068368923664093,7.911907662306035,220.3519582748413
9250,23680000,train,2.1094961047172545,8.24408608173388,226.42626786231995
9250,23680000,valid,2.0987831592559814,8.15623902767353,226.42634892463684
9500,24320000,train,2.070439821481705,7.92830939190834,232.44465494155884
9500,24320000,valid,2.1112882137298583,8.258873629192466,232.44473361968994
9750,24960000,train,2.0714615762233732,7.93641431954194,238.31742882728577
9750,24960000,valid,2.063502734899521,7.873500350537627,238.3175082206726
10000,25600000,train,2.007394915819168,7.443900080150147,244.14790868759155
10000,25600000,valid,2.0315097093582155,7.625590097676254,244.14799118041992
10250,26240000,train,2.0224973618984223,7.557174386284856,250.42083954811096
10250,26240000,valid,2.0195193588733673,7.5347025752698285,250.42092514038086
10500,26880000,train,1.98446444272995,7.2751500824147355,256.6288549900055
10500,26880000,valid,2.092703878879547,8.106805376565516,256.62894439697266
10750,27520000,train,1.987685114145279,7.298618722430282,262.45098900794983
10750,27520000,valid,1.965799880027771,7.140621947335181,262.45106172561646
11000,28160000,train,2.0489749729633333,7.759942877051526,268.55418395996094
11000,28160000,valid,2.0063616812229155,7.436212757144228,268.55425786972046
11250,28800000,train,1.968002688884735,7.156368709791485,274.6169307231903
11250,28800000,valid,1.9951084315776826,7.353000282087537,274.6170070171356
11500,29440000,train,1.961652249097824,7.111066617556951,280.4428722858429
11500,29440000,valid,1.959758424758911,7.097612250646002,280.4429440498352
11750,30080000,train,2.009318768978119,7.458234835395009,286.476487159729
11750,30080000,valid,1.9780707836151123,7.22878363635431,286.47656416893005
12000,30720000,train,2.012436753511429,7.481525787803037,292.3216791152954
12000,30720000,valid,2.001057690382004,7.396875567057716,292.32175970077515
12250,31360000,train,1.9981674432754517,7.375527634114089,298.33846712112427
12250,31360000,valid,1.9506571829319,7.033308232241313,298.33855390548706
12500,32000000,train,2.016716641187668,7.513614496875073,304.41183590888977
12500,32000000,valid,1.9751682460308075,7.20783224097639,304.41191363334656
12750,32640000,train,2.0014146864414215,7.399516693895045,311.337354183197
12750,32640000,valid,1.9677429914474487,7.1545104604790115,311.3374412059784
13000,33280000,train,1.9245173931121826,6.851841122121904,317.1378345489502
13000,33280000,valid,1.965178418159485,7.136185701700595,317.13791823387146
13250,33920000,train,1.9862935066223144,7.2884689735803025,323.4913785457611
13250,33920000,valid,1.9989363193511962,7.381200681513685,323.49146008491516
13500,34560000,train,1.9398330986499785,6.957589642622112,329.36415696144104
13500,34560000,valid,1.9789230585098267,7.234947173307716,329.364239692688
13750,35200000,train,1.9317569434642792,6.901625361246017,335.1804127693176
13750,35200000,valid,1.9763701140880585,7.216500312204397,335.1804895401001
14000,35840000,train,1.9220224499702454,6.834767475849545,341.0039083957672
14000,35840000,valid,1.9261466979980468,6.86301395984724,341.0039930343628
14250,36480000,train,1.9452982783317565,6.995718215018126,347.1364450454712
14250,36480000,valid,1.9700791478157043,7.17124405418829,347.1365261077881
14500,37120000,train,1.9910667836666107,7.323342018359246,352.91169571876526
14500,37120000,valid,1.9810908257961273,7.250647866684451,352.91177439689636
14750,37760000,train,1.9397559344768525,6.957052786683677,358.70762872695923
14750,37760000,valid,1.9482706427574157,7.016542973025179,358.70770168304443
15000,38400000,train,1.929376983642578,6.8852193008081,364.47236132621765
