step,tokens_processed,split,loss,perplexity,wallclock_sec
1,2560,train,9.26583685874939,10570.653033557539,1.3105993270874023
1,2560,valid,9.268893432617187,10603.012444657095,1.3106930255889893
250,640000,train,4.163015878200531,64.26504618331565,7.142764329910278
250,640000,valid,4.112352859973908,61.090285493311356,7.142838954925537
500,1280000,train,3.5204504251480104,33.799649247695406,14.133848428726196
500,1280000,valid,3.468738842010498,32.09623848157929,14.133943557739258
750,1920000,train,3.1403255701065063,23.11139001170649,20.286316633224487
750,1920000,valid,3.114502513408661,22.522223062006667,20.286397695541382
1000,2560000,train,2.9651209235191347,19.397048659045097,26.687591075897217
1000,2560000,valid,2.9487175941467285,19.081467845113863,26.68767809867859
1250,3200000,train,2.84129718542099,17.137982265162268,33.13424873352051
1250,3200000,valid,2.7971402764320374,16.397686805422506,33.13561463356018
1500,3840000,train,2.7787120580673217,16.0982739483682,39.45408797264099
1500,3840000,valid,2.7233455419540404,15.231193698742839,39.4541711807251
1750,4480000,train,2.6800282835960387,14.585505820601572,45.736570835113525
1750,4480000,valid,2.594796049594879,13.393855400589974,45.73664903640747
2000,5120000,train,2.6251336216926573,13.806418899880397,51.95475220680237
2000,5120000,valid,2.5640845775604246,12.98876272087242,51.954838275909424
2250,5760000,train,2.525141382217407,12.492661378922286,58.473511934280396
2250,5760000,valid,2.51510751247406,12.367938415292723,58.473591804504395
2500,6400000,train,2.5295246839523315,12.54754067159992,65.42402172088623
2500,6400000,valid,2.5036287546157836,12.226781547690264,65.4241087436676
2750,7040000,train,2.394102191925049,10.95835514148193,71.44986081123352
2750,7040000,valid,2.429539382457733,11.353651184468475,71.4499397277832
3000,7680000,train,2.3253267288208006,10.230021982833446,77.52689814567566
3000,7680000,valid,2.358401155471802,10.574031697288946,77.52697205543518
3250,8320000,train,2.3582210898399354,10.572127849003964,83.71751260757446
3250,8320000,valid,2.359622395038605,10.586953011582509,83.7195098400116
3500,8960000,train,2.3936814308166503,10.953745261723443,89.5221574306488
3500,8960000,valid,2.3579017400741575,10.568752181489616,89.52223610877991
3750,9600000,train,2.320417511463165,10.179923653755512,95.62518811225891
3750,9600000,valid,2.2748539566993715,9.726498418895662,95.62527108192444
4000,10240000,train,2.2707091331481934,9.686267232359416,101.96267604827881
4000,10240000,valid,2.177036428451538,8.820128406312326,101.96275591850281
4250,10880000,train,2.242873513698578,9.420361971493437,108.40300250053406
4250,10880000,valid,2.2982394099235535,9.956637457470201,108.40308690071106
4500,11520000,train,2.2704805970191955,9.684053823273299,114.40912628173828
4500,11520000,valid,2.2226771295070646,9.232013107061178,114.40920639038086
4750,12160000,train,2.2515340626239775,9.502301786974904,120.30509448051453
4750,12160000,valid,2.2050712287425993,9.070897653480309,120.30517101287842
5000,12800000,train,2.1736244380474092,8.790085495035122,126.27571964263916
5000,12800000,valid,2.208772563934326,9.104534298032297,126.27580666542053
5250,13440000,train,2.1706379473209383,8.763873147168825,132.77364253997803
5250,13440000,valid,2.1699659407138823,8.75798574491869,132.7737214565277
5500,14080000,train,2.202792364358902,9.050249843604613,139.1526062488556
5500,14080000,valid,2.136901783943176,8.473145285462174,139.1527030467987
5750,14720000,train,2.136862391233444,8.472811511883593,145.4358606338501
5750,14720000,valid,2.1942150056362153,8.972954572689996,145.435941696167
6000,15360000,train,2.1010535180568697,8.174777653435077,151.70543384552002
6000,15360000,valid,2.1723058760166167,8.778502859943508,151.70553135871887
6250,16000000,train,2.154005002975464,8.619309723384445,158.12863492965698
